Entity,Year,Access to improved drinking water,Access to unimproved drinking water,Access to limited drinking water,GDP per capita,Population (historical estimates),Death_Rate
Afghanistan,2009,50.66,31.23,4.88,1758.904419,27385310,14.41
Afghanistan,2019,74.35,16.04,1.91,2065.036133,37769496,6.62
Albania,2009,96.95,2.78,6.01,10313.91602,2930553,0.18
Albania,2019,96.97,3.03,2.22,13656.59277,2873883,0.12
Algeria,2009,97.42,2.32,5.34,10782.34766,35196040,1.48
Algeria,2019,99.26,0.68,5.02,11521.98438,42705372,0.89
Angola,2009,65.06,13.31,15.49,7643.495605,22507674,114.22
Angola,2019,66.17,19.48,9.28,6670.331543,32353592,61.41
Antigua and Barbuda,2009,97.21,2.7,0,20048.02148,84546,1.59
Argentina,2009,98.24,1.13,0,21519.89453,40684344,0.74
Armenia,2009,98.74,0.97,0.85,9052.383789,2964300,0.25
Armenia,2019,99.97,0.03,0,13653.76367,2820604,0.11
Australia,2009,99.86,0.14,0,44649.16016,21660898,0.09
Australia,2019,99.97,0.03,0,49309.11328,25357168,0.09
Austria,2009,100,0,0,51030.72656,8342939,0.01
Austria,2019,100,0,0,55833.55859,8879939,0.01
Azerbaijan,2009,88.7,5.84,4,13565.85547,9119630,1.33
Azerbaijan,2019,96.45,3.33,1.04,14442.04102,10232761,0.8
Bahamas,2009,98.63,1.37,0,36543.08203,368064,1
Bahamas,2019,98.89,1.11,0,36432.51953,404563,0.93
Bahrain,2009,99.98,0.02,0,44759.39453,1179460,1.9
Bahrain,2019,100,0,0,45311.86328,1494195,1.28
Bangladesh,2009,97.31,1.07,1.07,2762.18042,146706816,41.83
Bangladesh,2019,98.73,0.51,1.14,4753.727051,165516224,26.64
Barbados,2009,98.68,1.32,0.27,16019.71484,273801,0.85
Barbados,2019,98.78,1.22,0.27,15639.04785,280193,0.76
Belarus,2009,99.61,0.39,1.81,16014.11523,9757710,0.05
Belarus,2019,99.88,0.12,3.36,19279.20898,9673971,0.04
Belgium,2009,100,0,0,47064.78906,10801357,0.12
Belgium,2019,100,0,0,51944.16797,11510569,0.09
Belize,2009,94.45,4.26,1.17,7257.734863,314178,3.89
Belize,2019,99.65,0.35,1.25,7251.88623,389103,3.15
Benin,2009,71.85,20.57,7.98,2724.084717,9172514,71.92
Benin,2019,74.5,21.83,9.2,3287.30957,12290443,49.97
Bermuda,2009,99.93,0.07,0,89961.98438,63375,0.34
Bermuda,2019,99.9,0.1,0,81804.26563,63833,0.28
Bhutan,2009,93.61,2.14,1.99,7393.917969,697682,25.18
Bhutan,2019,99.76,0.18,2.47,11864.7666,767467,16.41
Bolivia,2009,86.83,4.41,0.24,6455.968262,10051322,7.78
Bolivia,2019,92.96,1.82,0.14,8724.474609,11777318,4.49
Bosnia and Herzegovina,2009,99.54,0.37,2.8,10755.97559,3877755,0.1
Bosnia and Herzegovina,2019,99.94,0.06,3.81,14896.7959,3360718,0.08
Botswana,2009,96.48,1.49,14.77,12298.83203,2048997,43.19
Botswana,2019,96.91,1.73,4.83,16347.91016,2499705,24.65
Brazil,2009,96.84,1.91,0.59,13962.25879,194517552,4.09
Brazil,2019,99.3,0.7,0.36,14763.87207,211782880,2.18
Brunei,2009,99.5,0.4,0,66851.11719,390322,0.36
Brunei,2019,99.9,0.1,0,62098.01172,438058,0.35
Bulgaria,2009,99.44,0.56,0,17767.51367,7634737,0.2
Bulgaria,2019,99.05,0.95,0,23265.87695,7052536,0.13
Burkina Faso,2009,72.56,23.83,18.8,1631.193848,15650018,93.69
Burkina Faso,2019,77.96,21.42,30.17,2175.504639,20951638,75.11
Burundi,2009,75.47,14.77,19.55,831.5648193,8709371,105.3
Burundi,2019,81.58,14.81,19.48,751.6641235,11874838,89.3
Cambodia,2009,67.14,14.49,3.26,2603.583496,14155742,22.89
Cambodia,2019,83.58,6.39,12.79,4388.800781,16207746,13.36
Cameroon,2009,71,20.9,9.38,3219.964111,19319276,97.18
Cameroon,2019,77.93,15.53,12.54,3742.856689,25782342,57.84
Canada,2009,99.24,0.76,0,44003.61719,33593920,0.12
Canada,2019,99.22,0.78,0,49171.51172,37522584,0.08
Cape Verde,2009,93.17,6.67,10.66,6185.760742,515643,11.67
Cape Verde,2019,96.57,3.31,8.36,7171.82666,577037,8.1
Central African Republic,2009,64.87,29.91,16.16,1161.190063,4564544,214.52
Central African Republic,2019,63.02,33.25,24.81,945.1420288,5209329,197.64
Chad,2009,54.55,38.28,12.14,1577.669434,11496138,193.02
Chad,2019,60.31,32.2,14.49,1579.626099,16126868,141.05
Chile,2009,98.09,1.91,0,20298.25,16833450,0.53
Chile,2019,100,0,0,24967.58008,19039484,0.48
China,2009,88.57,9.91,0.74,8069.354492,1339125632,0.72
China,2019,94.64,5.17,0.82,15977.64551,1421864064,0.27
Colombia,2009,94.71,2.78,0.17,11395.5625,44313916,1.86
Colombia,2019,97.5,1.05,0.19,14585.30273,50187404,1.07
Comoros,2009,91.62,7.38,7.4,2840.632813,642498,62.3
Comoros,2019,91.07,8.93,10.86,3058.818115,790993,42.98
Congo,2009,75.16,17.49,10.33,4847.756836,4257234,90.41
Congo,2019,84.06,9.66,10.46,3825.701416,5570736,47.78
Costa Rica,2009,98.1,0.93,0.26,16174.27734,4563131,1.22
Costa Rica,2019,100,0,0.2,20937.53906,5084527,1.11
Cote d'Ivoire,2009,79.82,14.61,8.56,3619.579102,20677762,55.64
Cote d'Ivoire,2019,79.84,14.24,8.9,5212.554199,26147544,36.16
Cyprus,2009,99.83,0.17,0,38535.10547,1110979,0.06
Cyprus,2019,99.77,0.23,0,41521.92188,1228840,0.06
Czechia,2009,99.85,0.15,0,32782.61328,10421515,0.15
Czechia,2019,99.88,0.12,0,40981.05469,10536876,0.26
Democratic Republic of Congo,2009,50.73,36.15,11.73,835.6116943,64270236,93.54
Democratic Republic of Congo,2019,58.59,32.9,13.29,1097.948853,89906896,49.2
Denmark,2009,100,0,0,50114.05078,5526455,0.09
Denmark,2019,100,0,0,57161.6875,5795879,0.07
Djibouti,2019,90.75,7.06,14.75,5534.766113,1073999,36.65
Dominica,2009,94.93,5.07,0,11928.44434,68805,2.04
Dominican Republic,2009,96.19,2.06,2.01,11944.34766,9648061,5.51
Dominican Republic,2019,97.09,1.32,0.47,18412.90039,10881886,4.69
Ecuador,2009,89.34,5.14,0.53,10148.86621,14742768,3.26
Ecuador,2019,95.05,2.63,0.04,11370.60352,17343742,1.91
Egypt,2009,99.05,0.92,0.43,10031.0332,85501064,6.9
Egypt,2019,99.62,0.38,0.24,11763.25293,105618672,3.5
El Salvador,2009,91.68,4.43,3.27,7208.123535,6091181,4.76
El Salvador,2019,97.99,0.32,0.21,8776.119141,6280222,3.55
Equatorial Guinea,2009,62,24.94,2.7,39914.17578,1043698,32.33
Estonia,2009,99.75,0.25,0,25337.17578,1334557,0.04
Estonia,2019,99.59,0.41,0,36401.10938,1327039,0.04
Eswatini,2009,68.25,12.45,7.05,7236.734863,1094890,92.34
Eswatini,2019,80.22,9.86,9.53,8652.922852,1169620,52.92
Ethiopia,2009,48.16,31.72,15.63,1150.206055,86755584,100
Ethiopia,2019,73.88,19.79,25.75,2221.404785,114120592,64.85
Fiji,2009,94.28,3.55,0,10319.36914,901390,17.25
Fiji,2019,94.26,3.34,0,13684.29199,918472,12.58
Finland,2009,100,0,0,44662.10156,5338813,0.02
Finland,2019,100,0,0,48582.58594,5521539,0.01
France,2009,99.97,0.03,0,41546.49219,62093300,0.1
France,2019,100,0,0,46017.76563,64399760,0.05
Gabon,2009,89.16,4.69,6.33,13934.85645,1653549,34.44
Gabon,2019,92.93,3.96,7.75,14945.85938,2242788,16.97
Gambia,2009,86.6,13.33,9.5,2283.186279,1878124,51.19
Gambia,2019,89.3,10.59,8.7,2224.909912,2508882,35.25
Georgia,2009,95.89,4.01,0.91,9097.420898,3855203,0.29
Georgia,2019,97.22,2.75,0,14989.25781,3770814,0.21
Germany,2009,100,0,0,45044.48828,81260624,0.05
Germany,2019,100,0,0,53929.64063,83148144,0.05
Ghana,2009,82.58,6.34,9.1,3637.476318,24950768,38.38
Ghana,2019,91.53,3.14,6.87,5540.04541,31522294,26.85
Greece,2009,99.9,0.1,0,35692.10156,11055503,0
Greece,2019,100,0,0,29698.03125,10574026,0
Grenada,2009,96.56,1.68,1.16,13537.79492,113260,1.34
Guatemala,2009,90.7,6.69,0.77,7262.5,14259415,25.93
Guatemala,2019,94.66,3.52,1.03,8653.308594,17106338,15.57
Guinea-Bissau,2009,64.94,33.43,6.93,1713.76355,1527207,140.33
Guinea-Bissau,2019,72.31,27.25,13.32,1939.289551,1970460,87.84
Guinea,2009,73.02,14.08,11.17,1825.67334,10021319,98.58
Guinea,2019,84.14,6.86,20.21,2567.033936,12877537,65.35
Guyana,2009,93.9,2.9,1.73,9454.068359,751265,11.37
Guyana,2019,96.76,1.14,1.21,13082.18164,798761,8.28
Haiti,2009,69.98,24,8.26,3122.14502,9730646,41.79
Haiti,2019,76.19,23.81,9.87,3073.329102,11160441,30.57
Honduras,2009,90.55,8.03,0.38,4787.86377,8277309,17.52
Honduras,2019,95.64,4.36,0.43,5736.181641,9958832,11.36
Hungary,2009,99.97,0.03,0,24168.98438,10008581,0.17
Hungary,2019,100,0,0,32553.69531,9771799,0.3
Iceland,2009,100,0,0,48770.94922,318809,0.02
Iceland,2019,100,0,0,56935.77344,360787,0.02
India,2009,89.53,9.48,4.34,3956.359131,1223640192,104.78
India,2019,94.95,4.44,4.93,6713.932129,1383112064,57.2
Indonesia,2009,84.27,13.25,0.7,7906.261719,240981296,44.03
Indonesia,2019,92.5,6.22,0.85,11811.97559,269582880,30.5
Iran,2009,97.94,1.88,2.07,13199.01855,74322688,1.29
Iran,2019,99.3,0.63,1.95,12389.22363,86564208,0.81
Iraq,2009,90.04,3.71,1.2,8294.154297,30289044,3.9
Iraq,2019,98.71,0.12,0.93,10935.5791,41563524,1.33
Ireland,2009,97.3,2.7,0,52336.62891,4499797,0.02
Ireland,2019,97.4,2.6,0,86650.00781,4896021,0.02
Israel,2009,100,0,0,32633.41797,7199704,0.11
Israel,2019,100,0,0,40626.21484,8607922,0.1
Italy,2009,99.79,0.21,0,42074.92188,59562844,0.02
Italy,2019,99.92,0.08,0,42708.03516,59727936,0.03
Jamaica,2009,94.98,2.63,3.37,9625.375,2722405,1.17
Jamaica,2019,96.38,1.87,5.39,9777.005859,2813776,1.14
Japan,2009,98.69,1.31,0,36577.86328,128117040,0.13
Japan,2019,99.08,0.92,0,42022.48828,125791680,0.11
Jordan,2009,99.19,0.75,0.18,11650.36426,6780508,0.76
Jordan,2019,99.1,0.84,0.15,10071.37988,10698682,0.46
Kazakhstan,2009,94.74,4.41,1.43,19614.73438,16402365,0.49
Kazakhstan,2019,97.37,2.55,1.94,26351.80469,18754260,0.18
Kenya,2009,61.82,13.62,7.87,3510.029785,40364448,80.35
Kenya,2019,70.35,10.13,9.4,4452.772949,50951452,52.81
Kiribati,2009,69.27,30.73,0.69,1979.549683,106011,97.61
Kiribati,2019,80.88,19.12,3.7,2340.389893,124252,72.57
Kuwait,2009,100,0,0,63886.25,2795553,0.18
Kuwait,2019,100,0,0,49853.73828,4441105,0.1
Kyrgyzstan,2009,86.23,3.19,1.43,4210.626465,5414084,1.93
Kyrgyzstan,2019,92.6,1.92,1.89,5258.366699,6323643,0.83
Laos,2009,67.76,19.46,1.88,4542.181152,6229933,41.13
Laos,2019,88.7,10.71,3.6,7886.652832,7212058,21.35
Latvia,2009,98.89,1.11,0.68,21710.76758,2126268,0.06
Latvia,2019,99.41,0.59,0.68,31012.13477,1916552,0.05
Lebanon,2009,96.2,3.65,7.12,18584.61328,4951138,1.32
Lebanon,2019,100,0,7.4,14563.68262,5781912,0.8
Lesotho,2009,80,17.4,11.26,2235.405273,2009178,131.67
Lesotho,2019,82.34,12.68,10.51,2583.924316,2225710,92.81
Liberia,2009,74.06,11.24,5.13,1431.794189,3905066,94.64
Liberia,2019,83.84,3.49,8.68,1469.763916,4985290,60.5
Libya,2009,92.06,7.94,0,21685.02344,6360194,1.06
Libya,2019,99.89,0.11,0,15174.16211,6569085,0.86
Lithuania,2009,93.8,6.2,0,23065.0625,3180482,0.07
Lithuania,2019,98,2,0,37166.21094,2849083,0.1
Luxembourg,2009,100,0,0,112230.0781,497876,0.05
Luxembourg,2019,99.88,0.12,0,116518.2734,619981,0.04
Madagascar,2009,46.14,27.76,2.61,1587.567139,21117092,100.37
Madagascar,2019,55.2,31.95,2.71,1618.61792,27533134,74.66
Malawi,2009,78.43,16.36,17.09,1323.616089,14298937,87.51
Malawi,2019,90.78,6.73,21.5,1537.141235,18867340,62.98
Malaysia,2009,97.38,2.62,0.38,19442.98438,28217208,4.13
Malaysia,2019,97.45,2.55,0.36,28421.46289,32804024,3.43
Maldives,2009,97.17,2.83,0.22,15731.55566,349040,5.04
Maldives,2019,99.58,0.42,0.05,19510.49219,504518,3.22
Mali,2009,68.86,28.19,4.43,2041.3302,15032645,122
Mali,2019,84.86,13.66,3.92,2321.702148,20567430,86.48
Malta,2009,100,0,0,31294.92383,415509,0.01
Malta,2019,100,0,0,43950.61719,503646,0.01
Marshall Islands,2009,98.84,1.16,10.89,3376.764648,53616,28.57
Marshall Islands,2019,99.96,0.04,11.36,4048.579346,44750,17.96
Mauritania,2009,73.28,24.05,17.31,4687.576172,3322625,78.68
Mauritania,2019,84.91,15.07,13.55,5343.998047,4383853,42.42
Mauritius,2009,99.68,0.32,0,16131.70703,1279868,0.61
Mauritius,2019,99.87,0.13,0,22869.75586,1296284,0.45
Mexico,2009,95.37,3.21,0,17168.97656,111049424,2.89
Mexico,2019,99.48,0.47,0,19677.27539,125085312,2.22
Moldova,2009,87.71,12.29,1.47,7975.384277,3749496,0.35
Moldova,2019,91.68,8.32,1.51,13026.51563,3109496,0.18
Mongolia,2009,80.61,8.58,5.77,7144.830078,2666718,1.64
Mongolia,2019,87.05,6.85,2.51,12486.07715,3232435,0.93
Montenegro,2009,98.56,1.35,2.64,16348.07617,631187,0.07
Montenegro,2019,99.35,0.64,0.67,21533.93164,630403,0.05
Morocco,2009,81.63,16.12,6.35,6128.78125,32042880,7.68
Morocco,2019,94.52,3.96,5.42,7546.754883,36304408,3.55
Mozambique,2009,47,38.59,9.44,991.3228149,22436660,60.24
Mozambique,2019,71.01,18.66,10.14,1281.780029,30285602,40.84
Myanmar,2009,74.55,12.08,12.29,2527.390625,49015836,29.61
Myanmar,2019,84.34,5.74,2.68,4739.710449,53040212,13.8
Namibia,2009,87.48,5.4,7.36,8671.664063,2067928,53.42
Namibia,2019,91.2,3.8,7.18,9812.608398,2446648,33.44
Nauru,2009,98.37,1.63,0,6058.524414,10255,18.33
Nauru,2019,100,0,0,13527.41211,12156,8.27
Nepal,2009,87.09,10.51,2.24,2591.631348,27026952,44.82
Nepal,2019,93.45,5.2,3.81,3952.760254,28832500,27.21
Netherlands,2009,100,0,0,51607.60547,16536200,0.03
Netherlands,2019,100,0,0,56784.03906,17363260,0.03
New Zealand,2009,100,0,0,37505.04688,4302884,0.18
New Zealand,2019,100,0,0,42877.94141,4959033,0.16
Nicaragua,2009,82.11,14.11,1.12,4477.338867,5770649,5.8
Nicaragua,2019,83.13,13.6,1.52,5451.665527,6663919,2.92
Niger,2009,53.4,43.82,10.5,991.6984253,16037917,144.55
Niger,2019,67.17,28.57,20.49,1224.375122,23443400,103.7
Nigeria,2009,66.37,18.3,8.1,4690.379395,156595744,122.87
Nigeria,2019,81.21,12.38,5.37,5135.499512,203304496,80.09
North Macedonia,2009,99.34,0.61,2.18,13103.42676,2089793,0.18
North Macedonia,2019,99.37,0.58,1.69,16773.04102,2114175,0.12
Norway,2009,100,0,0,61689.55859,4829195,0.08
Norway,2019,100,0,0,64385.00781,5348285,0.06
Oman,2009,96.56,3.41,9.06,40212.00391,2697543,2.39
Oman,2019,99.55,0.42,7.66,31284.01563,4602769,1.66
Pakistan,2009,92.04,4.43,3.47,3930.508057,190123232,76.06
Pakistan,2019,93.8,4.42,3.79,4697.726563,223293280,54.74
Palau,2009,99.52,0.48,0,14915.64551,18848,8.11
Palau,2019,99.66,0.34,0,17229.14844,17939,7.42
Palestine,2009,94.61,5.39,0.35,5250.116211,3899401,1.43
Palestine,2019,98.52,1.48,0.94,6245.44873,4909775,0.85
Panama,2009,92.73,4.41,1.02,20525.61914,3559339,4.51
Panama,2019,96.03,2.37,1.87,31440.26367,4232538,2.74
Papua New Guinea,2009,38.48,20.11,1.53,3165.093262,7358887,70.33
Papua New Guinea,2019,46.63,21.98,2.06,4293.129395,9542492,52.21
Paraguay,2009,89.08,9.76,0.17,9503.266602,5702579,3.42
Paraguay,2019,100,0,0.41,12615.52832,6530029,1.98
Peru,2009,87.73,7.76,1.02,9368.045898,29009326,3.18
Peru,2019,93.44,4.47,0.87,12853.69238,32824864,2.26
Philippines,2009,92.48,5.93,2.98,5606.59082,92946952,13.54
Philippines,2019,96.56,3.44,2.87,8914.723633,110380800,8.76
Poland,2009,98.09,1.91,0,23064.95313,38555288,0.07
Poland,2019,99.97,0.03,0,33185.15625,38493600,0.11
Portugal,2009,99.47,0.53,0,31269.41016,10591341,0.09
Portugal,2019,99.91,0.09,0,34945.66016,10289921,0.09
Puerto Rico,2009,98.54,1.46,0,32930.37109,3738934,1.22
Puerto Rico,2019,100,0,0,34804.94531,3292888,0.97
Qatar,2009,100,0,0,89954.84375,1610281,0.5
Qatar,2019,99.57,0.43,0,89966.45313,2807242,0.42
Romania,2009,100,0,0,21002.26172,20466318,0.19
Romania,2019,100,0,0,29875.0625,19524212,0.15
Russia,2009,96.61,3.39,0.62,22939.69336,143163648,0.18
Russia,2019,97.52,2.48,0.62,27210.54688,145742288,0.11
Rwanda,2009,74.15,13.84,21.69,1441.000244,10043736,60.25
Rwanda,2019,82.72,13.17,22.34,2227.51709,12835029,38.88
Saint Kitts and Nevis,2009,98.56,1.44,0,22549.7168,47310,4.35
Saint Lucia,2009,94.7,5.3,1.75,14065.42383,169694,2
Saint Lucia,2019,98.7,1.3,1.82,15200.87207,178594,1.89
Saint Vincent and the Grenadines,2009,94.43,4.78,0,11840.91895,109852,3.21
Samoa,2009,96.38,3.36,6.42,6027.220703,193189,5.94
Samoa,2019,98.36,1.42,6.52,6631.586914,211915,5.23
San Marino,2009,100,0,0,77188.625,31080,0.01
San Marino,2019,100,0,0,60847.10547,34203,0.01
Sao Tome and Principe,2009,89.61,4.68,15.75,3227.91333,178145,19.97
Sao Tome and Principe,2019,98.12,0.58,19.91,4005.341553,214612,7.89
Saudi Arabia,2009,98.59,1.41,0,43169.54297,28483800,2.38
Saudi Arabia,2019,100,0,0,46962.14844,35827364,1.29
Senegal,2009,75.29,23.79,4.34,2780.613037,12195028,69.11
Senegal,2019,86.25,13.59,2.6,3361.461426,16000783,50.84
Serbia,2009,99.45,0.53,8.32,14347.8623,7688037,0.11
Serbia,2019,99.53,0.45,4.62,18306.78516,7401056,0.11
Seychelles,2009,95.42,0.81,0,20342.87891,91046,4.97
Seychelles,2019,96.85,3.15,0,27611.11914,104386,3.83
Sierra Leone,2009,57.8,16.12,7.2,1365.218872,6259845,97.54
Sierra Leone,2019,71.45,15.65,8.86,1705.191406,8046830,68.03
Singapore,2009,100,0,0,69585.84375,5010707,0.08
Singapore,2019,100,0,0,98411.58594,5866408,0.08
Slovakia,2009,100,0,1.75,24039.66211,5388934,0.07
Slovakia,2019,100,0,0.21,31927.59375,5453932,0.06
Slovenia,2009,99.5,0.5,0,33052.22656,2045578,0.03
Slovenia,2019,99.5,0.5,0,38946.68359,2112905,0.02
Solomon Islands,2009,79.71,13.51,5.32,2301.587646,527844,110.56
Solomon Islands,2019,72.96,21.37,5.81,2660.979736,675000,73.61
Somalia,2019,81.81,14.77,26.88,1186.450928,15981312,111.74
South Africa,2009,91.98,2.9,2.82,13410.71484,51170780,38.19
South Africa,2019,96.28,1.54,2.78,13709.9668,58087060,22.7
South Korea,2009,98.92,1.08,0,32363.96875,48588024,0.21
South Korea,2019,99.84,0.16,0,42758.58984,51803832,0.18
Spain,2009,100,0,0,37430.67969,46367772,0.04
Spain,2019,99.93,0.07,0,40802.48828,47131372,0.04
Sri Lanka,2009,87.5,9.42,1.5,8507.592773,20482484,6.56
Sri Lanka,2019,92.81,5.36,0.6,13070.12598,21649664,3.76
Sudan,2009,72.71,18.52,22.25,4625.24707,32948156,33.09
Sudan,2019,87.06,3.67,26.68,4173.566406,43232092,14.27
Suriname,2009,93.77,1.77,0.67,18120.32422,539996,7.3
Suriname,2019,98.57,0.5,1.03,19036.74414,600305,5.64
Sweden,2009,99.64,0.36,0,45492.76953,9301413,0.07
Sweden,2019,99.83,0.17,0,52850.57031,10267922,0.07
Switzerland,2009,100,0,0,64404.07813,7734402,0.02
Switzerland,2019,100,0,0,70944.35156,8575593,0.02
Tajikistan,2009,71.71,4.71,3.56,2293.712646,7468603,9.81
Tajikistan,2019,84.39,3.43,2.57,3581.411377,9337008,5.26
Tanzania,2009,52.81,31.71,10.64,1943.040894,43957940,64.82
Tanzania,2019,71.75,14.66,11.35,2660.637451,59872584,44.08
Thailand,2009,97.56,1.99,0.19,13458.52637,67813656,7.2
Thailand,2019,100,0,0.04,18453.4707,71307768,5.42
Timor,2009,68.22,25.93,6.13,2729.281494,1065543,29
Timor,2019,85.66,10.06,1.85,3626.673096,1280442,22.94
Togo,2009,61.38,21.56,4.97,1573.970703,6398626,112.25
Togo,2019,74.46,14.25,6.09,2121.899902,8243093,73.35
Tonga,2009,99.21,0.79,0.88,5129.891113,107159,3.43
Tonga,2019,99.58,0.42,0.88,6378.128418,104965,2.61
Trinidad and Tobago,2009,96.93,2.59,1.51,28103.26953,1401197,1.47
Trinidad and Tobago,2019,100,0,1.12,25827.88477,1519960,1.18
Tunisia,2009,95.6,4.07,3.71,10532.11328,10784499,1.07
Tunisia,2019,98.92,1.08,1.88,11417.12695,12049319,0.74
Turkey,2009,97.26,2.57,2.03,18731.51953,72225648,1.24
Turkey,2019,98.89,0.89,2.02,28197.24805,83481688,0.69
Turkmenistan,2009,94.91,0.85,1.48,8015.80957,5180961,2.68
Turkmenistan,2019,100,0,0.21,15538.41992,6158424,0.91
Tuvalu,2009,98.89,1.11,0,3408.571289,10427,14.75
Tuvalu,2019,100,0,0,4274.763184,10983,11.23
Uganda,2009,71.32,18.84,32.59,1830.954712,31412526,51.65
Uganda,2019,82.12,12.74,27.89,2182.899658,42949076,40.58
Ukraine,2009,98.83,1.13,3.31,11694.44824,45863884,0.1
Ukraine,2019,99.53,0.17,5.66,12804.95508,44211100,0.09
United Arab Emirates,2009,99.97,0.03,0,58374.61719,7992658,2.2
United Arab Emirates,2019,99.97,0.03,0,68263.67188,9211660,1.46
United Kingdom,2009,100,0,0,41592.92969,62243384,0.05
United Kingdom,2019,100,0,0,47368.58594,66778660,0.03
United States,2009,98.88,1.12,0,53399.36719,308512032,0.09
United States,2019,99.8,0.2,0,62630.875,334319680,0.06
Uruguay,2009,98.79,1.13,0.57,17948.42969,3344161,1.12
Uruguay,2019,100,0,0.51,23032.73438,3428412,0.94
Uzbekistan,2009,95.77,0.84,0,4735.995117,28167840,0.52
Uzbekistan,2019,97.83,0.22,0,7348.146973,32976946,0.3
Vanuatu,2009,86.77,6.58,1,3129.64502,239700,53.82
Vanuatu,2019,92.28,0,1.06,3137.240967,304414,39.85
Vietnam,2009,88.84,7.31,0.77,4830.305176,86482920,2.94
Vietnam,2019,96.21,3.79,0,8041.178223,95776712,1.67
Zambia,2009,61.25,25.48,5.01,2917.515625,13318094,91.24
Zambia,2019,70.67,21.93,6.06,3470.435547,18380478,50.32
Zimbabwe,2009,78.31,15.28,10.24,2413.126709,12679812,79.42
Zimbabwe,2019,76.96,16.21,13.86,3630.033936,15354606,45.91
